164647 particles, 452 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
217 26026 33473 0.941316 2.110465 7 1 2.110465 7 1.265152 0.252000
220 48664 81023 0.391752 55.154240 160 1 55.154240 160 1.256597 0.264000
222 71648 138978 1.132598 4.035008 19 1 4.035008 19 1.252345 0.270000
223 36887 47621 1.554906 1.939988 6 1 1.939988 6 1.249795 0.274000
227 37658 48763 0.481689 12.248290 34 1 12.248290 34 1.245541 0.280000
228 51781 92460 0.345479 30.902821 41 1 30.902821 41 1.242525 0.285000
230 68782 129606 1.208032 7.033893 38 1 7.033893 38 1.240428 0.288000
231 68426 128196 0.650696 4.549547 11 1 4.549547 11 1.239706 0.289000
233 48731 81443 0.549693 17.781099 62 1 17.781099 62 1.237532 0.292000
235 71383 137561 0.807505 10.147430 28 1 10.147430 28 1.231294 0.302000
236 49054 83085 0.626567 19.592199 53 1 19.592199 53 1.230545 0.303000
237 28694 37683 0.370846 21.828880 44 1 21.828880 44 1.229413 0.305000
238 46534 74307 0.312952 60.095081 106 1 60.095081 106 1.226719 0.309000
241 56596 103857 0.525715 11.112960 41 1 11.112960 41 1.223930 0.314000
242 67753 125349 0.514957 10.366840 20 1 10.366840 20 1.220578 0.320000
244 48459 80417 0.710705 4.128163 7 1 4.128163 7 1.215913 0.327000
249 27543 35776 2.003838 2.972609 14 1 2.972609 14 1.201670 0.353000
251 13064 17717 0.666252 16.201191 83 1 16.201191 83 1.197234 0.361000
253 6596 8488 0.701140 4.434657 8 1 4.434657 8 1.194247 0.367000
254 54565 98732 2.175354 2.751306 28 1 2.751306 28 1.192145 0.371000
256 69253 131850 0.572315 26.736059 68 1 26.736059 68 1.191814 0.372000
258 25964 33356 0.721833 5.465121 19 1 5.465121 19 1.190432 0.374000
259 53451 96798 0.377827 24.679041 64 1 24.679041 64 1.189144 0.377000
