164647 particles, 77640 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
37 19188 23913 1.759043e+00 1.634646e+00 12 1 1.634646e+00 12 56849108592635715277744504832.000000 0.00e+00
39 36805 47510 1.786391e+00 1.382939e+00 6 1 1.382939e+00 6 55978800061675254013086400512.000000 0.00e+00
40 69051 130729 1.802320e+00 1.506258e+00 4 1 1.506258e+00 4 55484033002898518414402256896.000000 0.00e+00
41 20593 25708 1.817457e+00 1.763725e+00 5 1 1.763725e+00 5 55021944720183240760596889600.000000 0.00e+00
42 56856 104792 1.825271e+00 1.669385e+00 12 1 1.669385e+00 12 54786388357651219987692519424.000000 0.00e+00
43 25482 32468 1.844008e+00 6.061857e-01 2 1 6.061857e-01 2 54229701629551097600966393856.000000 0.00e+00
44 22927 29428 1.898793e+00 8.047777e-01 4 1 8.047777e-01 4 52665035220415415182667284480.000000 0.00e+00
46 1421 2077 1.956403e+00 1.000824e+00 5 1 1.000824e+00 5 51114224234540472303425159168.000000 0.00e+00
47 7750 10047 1.972283e+00 1.512091e+00 12 1 1.512091e+00 12 50702651106092451244470697984.000000 0.00e+00
48 51261 91022 2.000358e+00 1.970286e+00 6 1 1.970286e+00 6 49991056590254755885799702528.000000 0.00e+00
49 44360 66591 2.005815e+00 5.411511e-01 2 1 5.411511e-01 2 49855052435548110103645257728.000000 0.00e+00
50 59778 108287 2.015393e+00 1.589180e+00 7 1 1.589180e+00 7 49618126586736057133628915712.000000 0.00e+00
52 54072 97754 2.195368e+00 7.494729e-01 2 1 7.494729e-01 2 45550450103585528053778874368.000000 0.00e+00
53 48872 82377 2.227486e+00 9.376815e-01 3 1 9.376815e-01 3 44893658650781534927812820992.000000 0.00e+00
54 42268 59891 2.372503e+00 6.079434e-01 3 1 6.079434e-01 3 42149576490182675747747921920.000000 0.00e+00
57 28473 37333 2.493769e+00 6.152170e-01 3 1 6.152170e-01 3 40099951377455177983873515520.000000 0.00e+00
61 28178 36789 2.585500e+00 4.801654e-01 2 1 4.801654e-01 2 38677232221244832796230287360.000000 0.00e+00
63 1437 2120 2.625846e+00 1.046390e+00 6 1 1.046390e+00 6 38082960178307550903248355328.000000 0.00e+00
64 55830 101802 2.631516e+00 4.664407e-01 2 1 4.664407e-01 2 38000909060667690817660387328.000000 0.00e+00
65 55014 99587 2.726351e+00 9.435976e-01 6 1 9.435976e-01 6 36679066736081165556249526272.000000 0.00e+00
66 60038 108715 2.739927e+00 8.784617e-01 4 1 8.784617e-01 4 36497319378438202955732615168.000000 0.00e+00
68 42302 59970 2.786228e+00 1.349096e+00 9 1 1.349096e+00 9 35890816406310288681647210496.000000 0.00e+00
71 23113 29699 2.962650e+00 4.941721e-01 2 1 4.941721e-01 2 33753570144676386085655281664.000000 0.00e+00
72 69784 133252 3.025205e+00 5.303319e-01 3 1 5.303319e-01 3 33055609100874735392716226560.000000 0.00e+00
73 594 831 3.041897e+00 6.193024e-01 3 1 6.193024e-01 3 32874220643084470885235556352.000000 0.00e+00
74 1434 2113 3.072409e+00 4.089164e-01 2 1 4.089164e-01 2 32547751642207485137499717632.000000 0.00e+00
76 3010 4099 3.164032e+00 6.169725e-01 5 1 6.169725e-01 5 31605242850090429867169415168.000000 0.00e+00
