164647 particles, 452 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
99 65295 119740 0.521002 13.993320 41 1 13.993320 41 1.513362 0.063800
102 75549 159377 0.481562 14.675490 21 1 14.675490 21 1.495450 0.070700
103 73145 146918 0.747813 8.376553 36 1 8.376553 36 1.486279 0.074600
104 74065 152928 0.249927 107.728996 196 1 107.728996 196 1.485179 0.075000
105 49106 83212 0.240363 169.521301 331 1 169.521301 331 1.484023 0.075500
107 65200 119467 0.307453 29.416880 51 1 29.416880 51 1.476171 0.079000
108 65600 120474 1.539087 2.511317 10 1 2.511317 10 1.472908 0.080500
109 46254 72756 0.475769 16.720699 30 1 16.720699 30 1.468620 0.082500
112 40926 55482 0.707243 10.729040 37 1 10.729040 37 1.462003 0.085600
113 11391 15488 0.650886 15.580780 29 1 15.580780 29 1.456956 0.088100
116 36760 47405 0.190926 193.403397 462 1 193.403397 462 1.449462 0.092000
118 75555 159399 0.499235 15.334080 34 1 15.334080 34 1.442799 0.095500
119 56937 104947 0.654751 3.337022 12 1 3.337022 12 1.442462 0.095700
120 49455 84569 0.273479 33.932690 58 1 33.932690 58 1.434315 0.100000
121 40849 55279 0.753460 10.639350 22 1 10.639350 22 1.433125 0.101000
122 21333 26912 0.963323 6.103831 35 1 6.103831 35 1.432752 0.101000
123 64425 116000 0.142502 256.722809 448 1 256.722809 448 1.430689 0.102000
125 42531 61329 0.157729 94.959038 158 1 94.959038 158 1.421666 0.108000
126 42139 59325 0.366338 55.216919 132 1 55.216919 132 1.420362 0.108000
127 69481 132800 0.767864 5.715257 20 1 5.715257 20 1.418462 0.109000
129 45761 71346 1.434098 5.002794 21 1 5.002794 21 1.414643 0.112000
130 68982 130269 0.201310 93.319252 99 1 93.319252 99 1.411976 0.113000
131 11836 16068 1.128693 3.049352 16 1 3.049352 16 1.410761 0.114000
132 49355 84228 0.957246 7.050752 27 1 7.050752 27 1.402637 0.120000
133 72134 141822 0.381609 36.535881 70 1 36.535881 70 1.398366 0.122000
134 77593 164529 0.236660 77.156868 176 1 77.156868 176 1.398233 0.122000
135 2000 2856 2.056247 2.264095 16 1 2.264095 16 1.397491 0.123000
136 47507 77710 0.466582 8.891887 20 1 8.891887 20 1.397349 0.123000
137 42782 62135 0.243144 40.252708 78 1 40.252708 78 1.396803 0.123000
138 9153 12347 0.796481 24.585039 104 1 24.585039 104 1.396511 0.124000
139 69936 133928 0.729956 6.825108 25 1 6.825108 25 1.392301 0.127000
140 51286 91125 0.791281 7.453786 35 1 7.453786 35 1.383473 0.133000
141 41417 56567 0.944805 2.670589 12 1 2.670589 12 1.378747 0.136000
142 3072 4274 0.691270 17.771360 50 1 17.771360 50 1.378444 0.137000
143 55791 101647 0.556685 10.416890 38 1 10.416890 38 1.377012 0.138000
144 64603 117415 0.384049 75.892120 146 1 75.892120 146 1.374820 0.139000
145 2024 2939 1.077949 5.747867 13 1 5.747867 13 1.372311 0.141000
146 8190 10825 0.652645 4.635720 10 1 4.635720 10 1.372095 0.142000
147 56750 104443 0.825981 3.951751 12 1 3.951751 12 1.371727 0.142000
148 55859 101888 0.600057 11.417900 28 1 11.417900 28 1.369431 0.144000
149 8516 11371 0.437637 20.980021 84 1 20.980021 84 1.367643 0.145000
151 73436 148966 0.204629 191.919693 283 1 191.919693 283 1.362711 0.149000
152 66893 123672 0.491424 18.075600 33 1 18.075600 33 1.358905 0.152000
153 21816 27581 0.561668 10.084970 27 1 10.084970 27 1.358320 0.153000
156 48460 80418 0.877015 3.009858 9 1 3.009858 9 1.352848 0.157000
157 43511 64436 0.278698 38.038319 42 1 38.038319 42 1.347782 0.162000
158 75616 159545 0.678351 4.336138 8 1 4.336138 8 1.345706 0.164000
160 41710 57398 0.621611 7.747467 27 1 7.747467 27 1.341316 0.167000
161 8193 10829 0.472941 30.534460 78 1 30.534460 78 1.340755 0.168000
162 71300 137126 0.442937 11.104840 21 1 11.104840 21 1.340433 0.168000
163 50463 88424 0.252453 137.488403 252 1 137.488403 252 1.339277 0.169000
164 68109 126567 0.471646 50.424919 159 1 50.424919 159 1.337962 0.171000
165 42419 60638 0.167663 215.449005 398 1 215.449005 398 1.337430 0.171000
171 71321 137275 1.595588 2.203711 12 1 2.203711 12 1.328080 0.180000
